,Site,Col_Company,Col_Recruit,Col_Detali,Col_Url
26,데이터분석,주식회사 리만코리아,영업기획 및 데이터분석(주임~대리) ,서울 강남구 경력 3~8년 고졸↑ 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50691120&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
27,데이터분석,메가스터디 IT 컴퓨터학원,"[메가스터디IT] 파이썬, 데이터분석 방특강사 채용 ",서울 강남구 경력 초대졸↑ 계약직·프리랜서 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50665670&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
28,데이터분석,네이버파이낸셜(주),[네이버페이] 대쉬보드(데이터분석) 플랫폼 운영 담당자(계약직) ,경기 성남시 분당구 경력1년↑ 초대졸↑ 계약직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50855099&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
29,데이터분석,넛지헬스케어(주),[넛지헬스케어] 데이터분석 담당 산업기능요원 (병역특례) ,서울 강남구 경력무관 학력무관 산업기능요원·현역 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50715240&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
30,데이터분석,HR컨설팅(주),유통대기업 데이터분석가  4-12년 ,서울 강남구 경력 4~20년 대졸↑ 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50830894&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
31,데이터분석,(주)브릭,데이터분석가(경력 3년 이상) 채용 ,경기 성남시 분당구 경력3년↑ 대졸↑ 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50423927&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
32,데이터분석,(주)씨티아이랩,데이터분석:AI 모델 개발자(경력 10년이상 팀장급) ,경기 성남시 수정구 경력5년↑ 대졸↑ 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50521594&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
33,데이터분석,(주)아이트럭,IMC마케팅팀장(퍼포먼스마케터 및 데이터분석가) ,서울 서초구 경력 7~12년 대졸↑ 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50879675&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
34,데이터분석,주식회사 에스쥐앤알엘,데이터분석가 경력(8~10년) 채용 ,경기 부천시 경력 8~10년 초대졸↑ 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50859378&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
35,데이터분석,주식회사 에스쥐앤알엘,데이터분석가 경력(11~13년) 채용 ,경기 부천시 경력 11~13년 초대졸↑ 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50859507&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
36,데이터분석,쓰리핸즈(3Handz),[ 데이터분석가 ] 전자제품 1위 유통 대기업 ,서울 강남구 경력 3~12년 대졸↑ 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50860705&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
37,데이터분석,주식회사 에스쥐앤알엘,데이터분석가 경력(5~7년) 채용 ,경기 부천시 경력 5~7년 초대졸↑ 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50859368&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
38,데이터분석,굿커리어,대기업 데이터분석 과장급 구함(굿커리어) ,서울 강남구 경력 8~13년 대졸↑ 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50889545&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
39,데이터분석,브리스캔영어쏘시에이츠(주),[데이터시각화분석기업] 데이터분석 솔루션 개발자 ,경기 안양시 동안구 경력 3~7년 학력무관 정규직 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50883211&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e832244c-b4a6-4176-8299-f487c1f3af80
